SynsetTerms,PosScore,NegScore
senora,0.00,0.00
senorita,0.38,0.00
signora,0.00,0.00
signorina,0.00,0.00
very_reverend,0.38,0.00
lordship,0.00,0.00
ladyship,0.00,0.00
title,0.00,0.00
baronetcy,0.13,0.00
viscountcy,0.13,0.00
title,0.00,0.00
toponym,0.00,0.00
heading,0.00,0.00
crossheading,0.00,0.00
newspaper_headline,0.00,0.00
lemma,0.00,0.00
masthead,0.00,0.00
rubric,0.00,0.00
running_headline,0.00,0.00
subheading,0.00,0.00
running_title,0.00,0.00
stepped_line,0.00,0.00
screamer,0.00,0.00
streamer,0.13,0.00
title,0.00,0.00
title,0.00,0.00
title,0.00,0.00
credit,0.00,0.00
legend,0.00,0.00
subtitle,0.00,0.13
mistranslation,0.25,0.63
trot,0.00,0.00
retroversion,0.00,0.00
subtitle,0.00,0.00
surtitle,0.00,0.00
line_of_verse,0.00,0.00
acatalectic,0.00,0.50
alexandrine,0.00,0.00
catalectic,0.00,0.50
hypercatalectic,0.00,0.50
credit_line,0.00,0.00
dateline,0.00,0.00
written_language,0.00,0.00
written_text,0.00,0.00
transliteration,0.00,0.00
phonetic_transcription,0.00,0.00
tachygraphy,0.00,0.00
running_hand,0.00,0.25
minuscule,0.00,0.00
copperplate,0.25,0.00
italic,0.00,0.00
round_hand,0.00,0.00
writing_system,0.00,0.00
script,0.00,0.00
aramaic_script,0.00,0.00
armenian_alphabet,0.00,0.00
avestan,0.00,0.00
babylonian,0.00,0.00
brahmi,0.00,0.00
nagari_script,0.00,0.00
pahlavi,0.00,0.00
uygur,0.00,0.00
uncial,0.13,0.00
spelling,0.13,0.00
misspelling,0.25,0.63
coding_system,0.00,0.00
code,0.00,0.00
access_code,0.00,0.00
backdoor,0.00,0.00
area_code,0.00,0.00
universal_product_code,0.00,0.00
color_code,0.00,0.00
secret_writing,0.00,0.00
secret_code,0.00,0.00
morse_code,0.00,0.00
zip_code,0.00,0.00
computer_code,0.00,0.00
parameter,0.00,0.00
reference,0.00,0.00
ascii,0.00,0.00
ascii_character_set,0.00,0.00
binary_code,0.00,0.00
error_correction_code,0.00,0.00
cyclic_redundancy_check,0.00,0.00
microcode,0.00,0.00
machine_language,0.00,0.00
object_code,0.00,0.00
order_code,0.00,0.00
source_code,0.00,0.00
url,0.00,0.00
webpage,0.00,0.00
homepage,0.00,0.00
website,0.00,0.00
chatroom,0.00,0.00
portal_site,0.00,0.00
writing,0.00,0.00
written_word,0.00,0.00
bigram,0.00,0.00
trigram,0.00,0.00
tetragram,0.00,0.00
tetragrammaton,0.00,0.00
picture_writing,0.00,0.00
alphabetic_writing,0.00,0.00
boustrophedon,0.00,0.00
cuneiform,0.00,0.00
syllabic_script,0.00,0.00
linear_a,0.00,0.00
linear_b,0.00,0.00
ideography,0.00,0.00
hieratic_script,0.00,0.00
hieroglyphic,0.00,0.00
point_system,0.00,0.00
braille,0.00,0.00
written_material,0.00,0.00
writing,0.00,0.00
patrology,0.00,0.00
rewrite,0.00,0.00
literary_work,0.00,0.00
literature,0.00,0.00
literature,0.00,0.00
historiography,0.00,0.00
matter,0.00,0.00
prescription,0.00,0.00
prescription,0.00,0.00
acrostic,0.00,0.00
belles_lettres,0.00,0.00
dialogue,0.00,0.00
allegory,0.00,0.00
euphuism,0.38,0.00
fiction,0.00,0.00
fictionalization,0.00,0.00
nonfictional_prose,0.00,0.00
dystopia,0.00,0.25
novel,0.00,0.00
mystery_novel,0.00,0.00
penny_dreadful,0.00,0.00
phantasy,0.00,0.00
science_fiction,0.00,0.00
cyberpunk,0.00,0.00
novella,0.00,0.00
roman_a_clef,0.25,0.00
romance,0.00,0.00
gothic_romance,0.00,0.00
bodice_ripper,0.25,0.00
roman_fleuve,0.00,0.00
story,0.00,0.00
utopia,0.00,0.00
heroic_tale,0.00,0.00
thriller,0.00,0.00
saga,0.00,0.00
whodunit,0.00,0.00
detective_story,0.00,0.00
murder_mystery,0.00,0.00
romance,0.00,0.00
legend,0.00,0.00
arthurian_legend,0.00,0.00
short_story,0.00,0.00
parable,0.13,0.00
aesop's_fables,0.00,0.00
pilgrim's_progress,0.00,0.00
myth,0.00,0.00
twilight_of_the_gods,0.00,0.63
parable,0.00,0.00
plot,0.00,0.00
action,0.00,0.00
storyline,0.00,0.00
culmination,0.00,0.00
bathos,0.00,0.00
tearjerker,0.25,0.38
interior_monologue,0.00,0.00
stream_of_consciousness,0.00,0.00
literary_criticism,0.00,0.00
explication_de_texte,0.00,0.00
textual_criticism,0.00,0.00
new_criticism,0.00,0.00
higher_criticism,0.00,0.00
lower_criticism,0.00,0.00
masorah,0.00,0.00
analysis,0.00,0.00
drama,0.00,0.00
prose,0.00,0.00
prose_poem,0.00,0.00
polyphonic_prose,0.00,0.00
hagiology,0.00,0.00
lucubration,0.00,0.00
pastoral,0.00,0.00
verse_form,0.00,0.00
abecedarius,0.00,0.00
alcaic_verse,0.00,0.00
lay,0.00,0.00
ballade,0.00,0.00
blank_verse,0.00,0.00
clerihew,0.00,0.00
couplet,0.00,0.00
dithyramb,0.13,0.00
jingle,0.25,0.25
idyll,0.00,0.00
lament,0.00,0.38
heroic_poem,0.00,0.00
aeneid,0.00,0.00
divine_comedy,0.00,0.00
vers_libre,0.00,0.63
haiku,0.00,0.00
limerick,0.00,0.13
lyric_poem,0.00,0.38
rondel,0.00,0.00
roundel,0.00,0.00
rondelet,0.00,0.00
sonnet,0.00,0.00
tanka,0.00,0.00
terza_rima,0.00,0.00
verse,0.00,0.00
iliad,0.00,0.00
odyssey,0.00,0.00
nibelungenlied,0.00,0.00
chanson_de_geste,0.00,0.00
rhapsody,0.13,0.00
petrarchan_sonnet,0.00,0.00
octave,0.00,0.00
sestet,0.00,0.00
shakespearean_sonnet,0.00,0.00
spenserian_sonnet,0.00,0.00
epos,0.00,0.00
ode,0.00,0.00
epithalamium,0.00,0.00
sapphic_ode,0.00,0.00
pindaric_ode,0.00,0.00
choral_ode,0.00,0.00
canto,0.00,0.00
envoy,0.00,0.00
quatrain,0.00,0.00
elegiac_stanza,0.00,0.00
verse_line,0.00,0.00
iambic,0.00,0.00
adonic_line,0.00,0.00
versicle,0.00,0.00
sursum_corda,0.00,0.00
response,0.00,0.00
closed_couplet,0.00,0.00
heroic_couplet,0.00,0.00
heroic_stanza,0.00,0.00
heroic_verse,0.00,0.00
mock-heroic,0.00,0.38
spenserian_stanza,0.00,0.00
strophe,0.00,0.00
antistrophe,0.00,0.00
potboiler,0.00,0.63
tushery,0.00,0.63
dictation,0.00,0.00
cookie,0.00,0.00
session_cookie,0.00,0.00
precision_cookie,0.00,0.00
textual_matter,0.00,0.00
text,0.00,0.00
machine-displayable_text,0.00,0.00
machine-readable_text,0.00,0.00
typescript,0.00,0.00
erasure,0.00,0.00
margin,0.00,0.00
space,0.00,0.13
indenture,0.00,0.00
word_order,0.00,0.00
core_dump,0.00,0.00
dump,0.00,0.00
fair_copy,0.00,0.13
written_matter,0.00,0.00
prelims,0.00,0.00
end_matter,0.00,0.00
draft_copy,0.00,0.00
electronic_text,0.00,0.00
soft_copy,0.00,0.00
hard_copy,0.00,0.00
instalment,0.00,0.00
fascicule,0.00,0.00
subdivision,0.13,0.00
above,0.00,0.00
sports_section,0.00,0.00
clause,0.00,0.00
arbitration_clause,0.00,0.00
deductible,0.00,0.00
double_indemnity,0.00,0.00
escalator_clause,0.00,0.00
joker,0.00,0.00
reserve_clause,0.00,0.00
rider,0.00,0.00
body,0.00,0.00
book,0.00,0.00
chapter,0.00,0.00
episode,0.00,0.00
spot,0.00,0.00
spot,0.00,0.00
insert,0.00,0.00
introduction,0.00,0.00
exordium,0.00,0.00
narration,0.00,0.00
opening,0.00,0.00
teaser,0.00,0.00
salutation,0.00,0.00
prolusion,0.00,0.00
preamble,0.00,0.00
prolegomenon,0.00,0.00
ending,0.00,0.00
epilogue,0.00,0.00
epilogue,0.00,0.00
peroration,0.00,0.00
appendix,0.00,0.00
sequel,0.00,0.00
supplement,0.00,0.00
shirttail,0.00,0.00
paragraph,0.25,0.00
passage,0.00,0.00
selection,0.00,0.00
chrestomathy,0.00,0.38
locus_classicus,0.00,0.00
place,0.00,0.00
purple_passage,0.13,0.25
transition,0.00,0.00
flashback,0.00,0.00
flash-forward,0.00,0.00
journal,0.00,0.00
web_log,0.00,0.00
capitalization,0.00,0.00
typing,0.00,0.00
double-spacing,0.00,0.00
single-spacing,0.00,0.13
triple-spacing,0.00,0.00
touch_typing,0.00,0.00
printing,0.00,0.00
script,0.00,0.00
hieroglyphic,0.00,0.00
skywriting,0.00,0.00
penmanship,0.63,0.00
scribble,0.00,0.88
chicken_scratch,0.00,0.00
squiggle,0.00,0.38
signature,0.00,0.00
allograph,0.00,0.00
john_hancock,0.00,0.00
countersignature,0.00,0.00
indorsement,0.00,0.00
endorsement_in_blank,0.00,0.25
sign_manual,0.00,0.00
lettering,0.00,0.00
rosetta_stone,0.00,0.00
superscription,0.00,0.00
inscription,0.00,0.00
epigraph,0.00,0.00
epitaph,0.00,0.00
epitaph,0.00,0.00
festschrift,0.00,0.00
ms,0.00,0.00
autograph,0.00,0.00
manuscript,0.00,0.00
leaf-book,0.00,0.00
palimpsest,0.00,0.00
scroll,0.00,0.00
dead_sea_scrolls,0.00,0.00
megillah,0.00,0.00
torah,0.00,0.00
treatise,0.00,0.13
version,0.00,0.00
modernization,0.00,0.00
thesis,0.00,0.00
tract,0.00,0.00
monograph,0.00,0.00
essay,0.00,0.00
theme,0.00,0.00
term_paper,0.00,0.00
disquisition,0.00,0.00
memoir,0.00,0.00
thanatopsis,0.00,0.00
review_article,0.00,0.00
book_review,0.00,0.00
notice,0.00,0.00
book,0.00,0.00
authority,0.00,0.00
curiosa,0.00,0.13
pharmacopeia,0.00,0.00
last_word,0.00,0.00
trade_edition,0.00,0.00
bestseller,0.00,0.00
bestiary,0.00,0.00
catechism,0.00,0.00
cookery_book,0.00,0.00
instruction_book,0.00,0.00
pop-up_book,0.00,0.13
storybook,0.00,0.00
tome,0.00,0.00
volume,0.00,0.00
pamphlet,0.00,0.00
blue_book,0.00,0.00
ticket_book,0.00,0.00
textbook,0.00,0.00
crammer,0.00,0.00
introduction,0.00,0.00
primer,0.00,0.00
reader,0.00,0.00
mcguffey_eclectic_readers,0.00,0.00
speller,0.00,0.00
notebook,0.00,0.00
commonplace_book,0.00,0.00
jotter,0.00,0.00
workbook,0.00,0.00
copybook,0.50,0.00
appointment_calendar,0.00,0.00
catalogue,0.00,0.00
phrase_book,0.00,0.00
playbook,0.00,0.00
playbook,0.00,0.00
prayerbook,0.00,0.00
breviary,0.00,0.00
missal,0.00,0.00
psalter,0.00,0.00
reference_work,0.00,0.00
review_copy,0.00,0.00
songbook,0.00,0.00
hymnbook,0.00,0.00
prayer_wheel,0.00,0.00
source_book,0.00,0.00
wordbook,0.00,0.00
lexicon,0.00,0.00
bilingual_dictionary,0.00,0.00
desk_dictionary,0.00,0.00
etymological_dictionary,0.13,0.00
gazetteer,0.00,0.00
school_dictionary,0.00,0.00
pocket_dictionary,0.00,0.00
spelling_checker,0.00,0.00
unabridged_dictionary,0.50,0.00
oxford_english_dictionary,0.38,0.00
onomasticon,0.13,0.00
vocabulary,0.00,0.00
glossary,0.00,0.00
thesaurus,0.00,0.00
wordfinder,0.00,0.13
vade_mecum,0.00,0.00
hornbook,0.00,0.00
manual,0.00,0.00
consuetudinary,0.00,0.00
grimoire,0.25,0.00
operating_instructions,0.00,0.00
reference_manual,0.00,0.00
sex_manual,0.00,0.00
bible,0.00,0.00
guidebook,0.00,0.00
field_guide,0.00,0.00
roadbook,0.00,0.00
baedeker,0.00,0.00
travel_guidebook,0.00,0.00
reckoner,0.00,0.00
directory,0.00,0.00
telephone_directory,0.00,0.00
bullet_fingerprinting,0.00,0.00
identity_verification,0.00,0.00
key,0.00,0.00
number,0.00,0.00
business_card,0.00,0.00
bin,0.00,0.00
registration_number,0.00,0.00
social_security_number,0.00,0.00
telephone_number,0.00,0.00
almanac,0.00,0.00
yearly,0.00,0.00
farmer's_calendar,0.00,0.00
ephemeris,0.00,0.00
map_collection,0.00,0.00
linguistic_atlas,0.38,0.00
encyclopedia,0.00,0.00
book_of_knowledge,0.00,0.00
redaction,0.00,0.00
copy_editing,0.13,0.00
excision,0.00,0.00
correction,0.13,0.25
erasure,0.00,0.00
rewriting,0.00,0.00
revision,0.00,0.00
rewording,0.00,0.00
paraphrasis,0.00,0.00
translation,0.00,0.00
sacred_writing,0.00,0.00
screed,0.00,0.00
scripture,0.00,0.00
canon,0.00,0.00
granth_sahib,0.00,0.00
zend-avesta,0.00,0.00
gita,0.00,0.00
mahabharatum,0.00,0.00
word_of_god,0.00,0.00
genesis,0.00,0.00
exodus,0.00,0.00
leviticus,0.00,0.00
numbers,0.00,0.00
deuteronomy,0.00,0.00
mezuzah,0.00,0.00
josue,0.00,0.00
judges,0.00,0.00
ruth,0.00,0.13
i_samuel,0.00,0.00
ii_samuel,0.00,0.00
i_kings,0.00,0.00
ii_kings,0.00,0.00
paralipomenon,0.00,0.00
i_chronicles,0.00,0.00
ii_chronicles,0.00,0.00
ezra,0.00,0.00
nehemiah,0.00,0.00
esther,0.00,0.00
job,0.00,0.00
psalms,0.00,0.00
proverbs,0.00,0.00
ecclesiastes,0.00,0.00
song_of_songs,0.00,0.00
isaiah,0.00,0.00
jeremiah,0.00,0.00
lamentations,0.00,0.00
ezekiel,0.00,0.00
daniel,0.00,0.00
hosea,0.00,0.00
joel,0.00,0.00
book_of_amos,0.00,0.00
obadiah,0.00,0.00
jonah,0.00,0.00
micheas,0.00,0.00
nahum,0.00,0.00
habakkuk,0.00,0.00
zephaniah,0.00,0.00
haggai,0.00,0.00
zechariah,0.00,0.00
malachias,0.00,0.00
matthew,0.00,0.00
mark,0.00,0.00
luke,0.00,0.00
john,0.00,0.00
acts_of_the_apostles,0.00,0.00
epistle,0.00,0.00
romans,0.00,0.00
i_corinthians,0.00,0.00
second_epistle_to_the_corinthians,0.00,0.00
galatians,0.00,0.00
epistle_to_the_ephesians,0.00,0.00
philippians,0.00,0.00
epistle_to_the_colossians,0.00,0.00
i_thessalonians,0.00,0.00
second_epistle_to_the_thessalonians,0.00,0.00
i_timothy,0.00,0.00
second_epistle_to_timothy,0.00,0.00
titus,0.00,0.00
philemon,0.00,0.00
hebrews,0.00,0.50
james,0.00,0.00
i_peter,0.00,0.00
second_epistle_of_peter,0.00,0.00
i_john,0.13,0.13
second_epistel_of_john,0.13,0.13
third_epistel_of_john,0.13,0.13
jude,0.00,0.00
revelation_of_saint_john_the_divine,0.63,0.00
family_bible,0.00,0.00
septuagint,0.00,0.00
vulgate,0.00,0.00
rheims-douay_version,0.00,0.00
king_james_version,0.00,0.00
revised_version,0.00,0.00
new_english_bible,0.00,0.00
american_standard_version,0.13,0.00
revised_standard_version,0.13,0.00
old_testament,0.00,0.00
torah,0.00,0.00
torah,0.00,0.00
tanakh,0.00,0.00
prophets,0.00,0.00
haphtorah,0.00,0.00
writings,0.00,0.00
testament,0.00,0.00
new_testament,0.00,0.00
gospels,0.00,0.00
synoptics,0.00,0.00
word_of_god,0.00,0.00
book_of_mormon,0.00,0.00
prayer,0.00,0.00
agnus_dei,0.00,0.00
angelus,0.00,0.00
hail_mary,0.25,0.00
nunc_dimittis,0.00,0.00
evensong,0.00,0.00
kol_nidre,0.00,0.00
service_book,0.00,0.00
book_of_common_prayer,0.00,0.00
litany,0.00,0.00
lord's_prayer,0.00,0.00
paternoster,0.00,0.00
apocrypha,0.00,0.00
additions_to_esther,0.00,0.00
prayer_of_azariah_and_song_of_the_three_children,0.00,0.00
susanna,0.00,0.00
bel_and_the_dragon,0.00,0.00
book_of_baruch,0.00,0.00
letter_of_jeremiah,0.00,0.00
tobit,0.00,0.00
judith,0.00,0.00
i_esdra,0.00,0.00
ii_esdras,0.25,0.00
wisdom_of_jesus_the_son_of_sirach,0.50,0.00
wisdom_of_solomon,0.00,0.00
i_maccabees,0.00,0.00
ii_maccabees,0.00,0.00
wisdom_literature,0.00,0.00
pseudepigrapha,0.00,0.00
quran,0.00,0.00
sura,0.00,0.00
fatihah,0.00,0.00
talmudic_literature,0.00,0.00
talmud,0.00,0.00
gemara,0.00,0.00
mishnah,0.00,0.00
haggadah,0.00,0.63
halakah,0.00,0.00
sanskrit_literature,0.00,0.00
hastinapura,0.00,0.00
purana,0.00,0.00
ramayana,0.00,0.00
tantra,0.00,0.00
vedic_literature,0.00,0.00
samhita,0.00,0.00
rig-veda,0.00,0.00
sama-veda,0.00,0.00
atharva-veda,0.00,0.00
yajur-veda,0.00,0.00
brahmana,0.00,0.00
aranyaka,0.25,0.00
vedanga,0.00,0.00
ayurveda,0.00,0.00
upanishad,0.25,0.00
mantra,0.00,0.00
psalm,0.25,0.00
psalm,0.00,0.00
summary,0.00,0.00
summarization,0.00,0.00
literary_argument,0.00,0.00
capitulation,0.00,0.00
compendium,0.00,0.00
condensation,0.00,0.00
conspectus,0.00,0.00
resume,0.00,0.00
line_score,0.00,0.00
brief,0.00,0.00
apercu,0.00,0.00
epitome,0.00,0.00
synopsis,0.00,0.00
overview,0.00,0.00
review,0.00,0.00
roundup,0.00,0.00
survey,0.00,0.00
summing_up,0.00,0.00
written_document,0.00,0.00
articles_of_incorporation,0.00,0.00
ballot,0.00,0.00
brevet,0.25,0.00
capitulation,0.00,0.00
credentials,0.13,0.00
charter,0.00,0.00
commercial_instrument,0.00,0.00
confession,0.00,0.00
confession,0.00,0.00
augsburg_confession,0.00,0.00
linking_verb,0.00,0.00
frequentative,0.00,0.00
right_of_first_publication,0.00,0.00
inclosure,0.00,0.00
form,0.00,0.00
application_form,0.00,0.00
claim_form,0.00,0.00
order_form,0.00,0.00
questionnaire,0.00,0.00
personality_inventory,0.00,0.00
self-report_personality_inventory,0.00,0.00
cpi,0.00,0.00
eysenck_personality_inventory,0.00,0.00
mmpi,0.00,0.00
sixteen_personality_factor_questionnaire,0.00,0.00
requisition_form,0.00,0.00
tax_form,0.00,0.00
telegraph_form,0.00,0.00
absentee_ballot,0.00,0.00
certificate_of_incorporation,0.00,0.00
bank_charter,0.00,0.00
the_great_charter,0.00,0.00
royal_charter,0.13,0.00
identity_card,0.00,0.00
donor_card,0.00,0.00
keycard,0.00,0.00
membership_card,0.00,0.00
union_card,0.00,0.00
library_card,0.00,0.00
ration_card,0.00,0.00
birth_certificate,0.00,0.00
sheepskin,0.00,0.00
hnd,0.25,0.00
military_commission,0.00,0.00
bill_of_health,0.00,0.00
registration,0.00,0.00
teaching_certificate,0.00,0.00
official_document,0.00,0.00
derivative_instrument,0.13,0.00
futures_contract,0.00,0.00
stock-index_futures,0.00,0.00
negotiable_instrument,0.00,0.00
listing,0.00,0.00
point,0.00,0.00
agenda_item,0.00,0.00
incidental,0.00,0.00
inventory_item,0.00,0.00
line_item,0.00,0.00
news_item,0.00,0.00
position,0.00,0.00
postposition,0.00,0.00
preposition,0.00,0.00
topicalization,0.00,0.00
ammunition,0.00,0.00
factoid,0.00,0.00
factoid,0.13,0.13
papyrus,0.00,0.00
order_of_business,0.00,0.00
a-list,0.00,0.00
docket,0.00,0.00
order_of_the_day,0.00,0.00
order_paper,0.00,0.00
network_programming,0.00,0.00
lineup,0.00,0.00
cleanup_spot,0.00,0.00
bibliography,0.00,0.00
bill,0.00,0.00
bill_of_entry,0.00,0.00
bill_of_goods,0.00,0.00
shitlist,0.00,0.00
calendar,0.00,0.00
calorie_chart,0.00,0.00
canon,0.00,0.00
catalogue,0.00,0.00
discography,0.00,0.00
library_catalogue,0.00,0.13
card_catalogue,0.00,0.00
parts_catalogue,0.00,0.00
seed_catalogue,0.00,0.00
character_set,0.00,0.00
checklist,0.00,0.00
honours_list,0.00,0.00
clericalism,0.00,0.00
codex,0.00,0.00
table_of_contents,0.00,0.00
corrigenda,0.00,0.00
credits,0.00,0.00
record,0.00,0.00
directory,0.00,0.00
distribution_list,0.00,0.00
subdirectory,0.00,0.00
numbering,0.00,0.00
faq,0.00,0.00
free_list,0.00,0.50
grocery_list,0.00,0.00
shopping_list,0.00,0.00
hit_list,0.00,0.00
hit_parade,0.00,0.00
index,0.00,0.00
concordance,0.00,0.00
key,0.00,0.00
key_word,0.00,0.00
key,0.00,0.00
parts_inventory,0.00,0.00
stock_list,0.00,0.00
mailing_list,0.00,0.00
menu,0.00,0.00
masthead,0.00,0.00
menu,0.00,0.00
drop-down_menu,0.00,0.00
submenu,0.00,0.00
necrology,0.00,0.00
playlist,0.00,0.00
portfolio,0.00,0.00
posting,0.00,0.00
price_list,0.00,0.00
stack,0.00,0.00
queue,0.00,0.00
roster,0.00,0.00
death-roll,0.00,0.13
schedule,0.00,0.00
shopping_list,0.00,0.00
shortlist,0.00,0.00
sick_list,0.00,0.38
ticket,0.00,0.00
standing,0.00,0.00
wish_list,0.00,0.00
timetable,0.00,0.00
timetable,0.00,0.00
muster_roll,0.00,0.00
church_roll,0.00,0.00
rota,0.00,0.00
waiting_list,0.00,0.00
a_la_carte,0.00,0.00
prix_fixe,0.00,0.00
table_d'hote,0.00,0.00
alphabet,0.00,0.00
roman_alphabet,0.00,0.00
hebrew_script,0.00,0.00
greek_alphabet,0.00,0.00
cyrillic_alphabet,0.00,0.00
arabic_alphabet,0.00,0.00
alphanumerics,0.00,0.00
sound_alphabet,0.00,0.00
visible_speech,0.00,0.00
manual_alphabet,0.00,0.00
passport,0.00,0.00
patent_of_invention,0.00,0.00
program,0.00,0.00
plank,0.00,0.00
ship's_papers,0.00,0.00
manifest,0.00,0.00
push-down_queue,0.38,0.00
cadastre,0.00,0.00
written_record,0.00,0.00
rap_sheet,0.00,0.00
casebook,0.00,0.00
chronology,0.00,0.00
doomsday_book,0.00,0.00
dossier,0.00,0.00
entry,0.00,0.00
log,0.00,0.00
logbook,0.00,0.00
log,0.00,0.00
bell_book,0.00,0.00
note,0.00,0.00
paper_trail,0.00,0.00
timecard,0.00,0.00
timeline,0.00,0.00
time_sheet,0.00,0.00
nolle_prosequi,0.00,0.00
notebook_entry,0.00,0.00
transcript,0.00,0.00
memorabilia,0.00,0.00
jotting,0.00,0.00
marginalia,0.00,0.00
scholium,0.00,0.00
memorandum,0.00,0.00
minute,0.00,0.00
position_paper,0.00,0.00
corker,0.00,0.00
reminder,0.00,0.00
check_register,0.00,0.00
registry,0.00,0.00
studbook,0.00,0.00
rent-roll,0.00,0.00
won-lost_record,0.00,0.00
blue_book,0.50,0.00
stub,0.00,0.00
scorecard,0.00,0.00
transactions,0.00,0.00
minute_book,0.00,0.00
congressional_record,0.00,0.00
hansard,0.00,0.00
file,0.00,0.00
combined_dna_index_system,0.00,0.00
computer_file,0.00,0.00
backup_file,0.00,0.00
binary_file,0.00,0.00
master_file,0.00,0.00
disk_file,0.00,0.00
transaction_file,0.00,0.00
input_file,0.00,0.00
output_file,0.00,0.00
read-only_file,0.00,0.00
text_file,0.00,0.00
ascii_text_file,0.00,0.00
mug_file,0.00,0.00
resignation,0.00,0.00
stepping_down,0.00,0.00
resolve,0.00,0.00
declaration_of_independence,0.00,0.00
joint_resolution,0.25,0.00
application,0.00,0.00
job_application,0.00,0.00
credit_application,0.00,0.00
loan_application,0.00,0.00
mortgage_application,0.00,0.00
patent_application,0.00,0.00
request,0.00,0.00
memorial,0.00,0.00
solicitation,0.00,0.00
whip-round,0.00,0.00
story,0.00,0.00
ancient_history,0.00,0.00
etymology,0.00,0.00
folk_etymology,0.00,0.25
case_history,0.00,0.00
family_history,0.00,0.00
medical_record,0.00,0.00
historical_record,0.00,0.00
chronological_record,0.00,0.00
life_story,0.00,0.00
autobiography,0.00,0.00
hagiography,0.00,0.00
profile,0.00,0.00
memoir,0.00,0.00
statement,0.38,0.25
bank_statement,0.00,0.00
invoice,0.00,0.00
electric_bill,0.00,0.00
hotel_bill,0.00,0.00
medical_bill,0.00,0.00
telephone_bill,0.00,0.00
tally,0.00,0.00
tax_bill,0.00,0.00
tab,0.00,0.00
voucher,0.13,0.00
book_token,0.00,0.00
meal_ticket,0.00,0.00
twofer,0.00,0.00
ticket,0.00,0.00
season_ticket,0.50,0.00
plane_ticket,0.50,0.00
pass,0.50,0.00
transfer,0.00,0.00
train_ticket,0.50,0.00
theatre_ticket,0.50,0.00
bus_ticket,0.50,0.00
round-trip_ticket,0.00,0.00
day_return,0.00,0.00
receipt,0.00,0.00
ticket_stub,0.00,0.00
rain_check,0.00,0.00
waybill,0.00,0.00
contract,0.25,0.00
contract_of_adhesion,0.00,0.00
aleatory_contract,0.00,0.00
bilateral_contract,0.00,0.00
charter,0.00,0.00
conditional_contract,0.00,0.00
cost-plus_contract,0.00,0.00
gambling_contract,0.00,0.00
lease,0.00,0.00
marriage_settlement,0.00,0.00
output_contract,0.00,0.00
policy,0.00,0.00
purchase_contract,0.00,0.00
quasi_contract,0.00,0.00
requirements_contract,0.00,0.00
special_contract,0.00,0.00
service_contract,0.00,0.00
severable_contract,0.00,0.00
subcontract,0.00,0.00
conspiracy,0.00,0.00
fair-trade_agreement,0.00,0.00
conspiracy_of_silence,0.00,0.63
covenant,0.00,0.00
unilateral_contract,0.00,0.13
debenture,0.00,0.00
floating_policy,0.00,0.00
partnership,0.00,0.00
shipping_articles,0.00,0.00
grant,0.00,0.00
franchise,0.00,0.00
labor_contract,0.00,0.00
yellow-dog_contract,0.00,0.38
employment_contract,0.00,0.00
distribution_agreement,0.00,0.00
licensing_agreement,0.00,0.00
merger_agreement,0.00,0.00
sales_agreement,0.00,0.00
conditional_sale,0.00,0.00
sale_in_gross,0.00,0.38
sheriff's_sale,0.00,0.00
estimation,0.00,0.00
overvaluation,0.50,0.00
purchase_order,0.00,0.00
credit_order,0.13,0.00
open_account,0.00,0.00
indent,0.00,0.00
market_order,0.00,0.00
production_order,0.00,0.00
reorder,0.13,0.00
stop_order,0.00,0.00
stop_payment,0.00,0.00
mail_order,0.00,0.00
power_of_attorney,0.00,0.00
stock_power,0.00,0.00
proxy,0.00,0.00
stock_symbol,0.00,0.00
letters_of_administration,0.00,0.00
letters_testamentary,0.00,0.00
working_papers,0.00,0.00
enactment,0.00,0.00
law,0.00,0.00
nullity,0.38,0.13
anti-drug_law,0.00,0.00
rico_act,0.00,0.00
antitrust_legislation,0.00,0.00
statute_of_limitations,0.00,0.00
organic_law,0.00,0.00
articles_of_confederation,0.00,0.00
us_constitution,0.00,0.00
public_law,0.00,0.00
roman_law,0.00,0.00
salic_law,0.00,0.00
precedent,0.00,0.00
statute_law,0.00,0.00
enabling_legislation,0.00,0.00
occupational_safety_and_health_act,0.00,0.00
advice_and_consent,0.00,0.00
statute_book,0.00,0.00
version,0.00,0.00
worksheet,0.00,0.00
measure,0.00,0.00
appropriation_bill,0.00,0.00
bill_of_attainder,0.00,0.00
bottle_bill,0.00,0.00
farm_bill,0.00,0.00
trade_bill,0.00,0.00
bylaw,0.00,0.00
blue_law,0.00,0.00
blue_sky_law,0.00,0.00
gag_law,0.00,0.00
game_law,0.00,0.00
homestead_law,0.00,0.00
poor_law,0.00,0.00
riot_act,0.00,0.00
riot_act,0.50,0.00
criminal_law,0.00,0.00
court_order,0.00,0.00
rescript,0.00,0.00
consent_decree,0.00,0.00
curfew,0.00,0.00
decree_nisi,0.00,0.00
divestiture,0.00,0.00
imperial_decree,0.00,0.00
ukase,0.00,0.00
legal_separation,0.00,0.00
pragmatic_sanction,0.00,0.00
programma,0.00,0.00
prohibition,0.00,0.00
proscription,0.00,0.00
stay,0.00,0.00
stay_of_execution,0.00,0.00
banning-order,0.00,0.00
injunction,0.00,0.00
mandatory_injunction,0.00,0.00
permanent_injunction,0.00,0.00
temporary_injunction,0.00,0.00
legal_brief,0.00,0.00
amicus_curiae_brief,0.00,0.50
will,0.00,0.00
probate_will,0.00,0.00
